John Adams,American Academy of Arts and Sciences,Member,1780
Samuel Adams,American Academy of Arts and Sciences,Member,1780
John Bacon,American Academy of Arts and Sciences,Member,1780
James Bowdoin,American Academy of Arts and Sciences,Member,1780
Charles Chauncy,American Academy of Arts and Sciences,Member,1780
John Clarke,American Academy of Arts and Sciences,Member,1780
David Cobb,American Academy of Arts and Sciences,Member,1780
Samuel Cooper,American Academy of Arts and Sciences,Member,1780
Nathan Cushing,American Academy of Arts and Sciences,Member,1780
Thomas Cushing,American Academy of Arts and Sciences,Member,1780
William Cushing,American Academy of Arts and Sciences,Member,1780
Tristram Dalton,American Academy of Arts and Sciences,Member,1780
Francis Dalton,American Academy of Arts and Sciences,Member,1780
Samuel Deane,American Academy of Arts and Sciences,Member,1780
Perez Fobes,American Academy of Arts and Sciences,Member,1780
Caleb Gannett,American Academy of Arts and Sciences,Member,1780
Henry Gardner,American Academy of Arts and Sciences,Member,1780
Benjamin Guild,American Academy of Arts and Sciences,Member,1780
John Hancock,American Academy of Arts and Sciences,Member,1780
Joseph Hawley,American Academy of Arts and Sciences,Member,1780
Edward Augustus Holyoke,American Academy of Arts and Sciences,Member,1780
Ebenezer Hunt,American Academy of Arts and Sciences,Member,1780
Jonathan Jackson,American Academy of Arts and Sciences,Member,1780
Charles Jarvis,American Academy of Arts and Sciences,Member,1780
Samuel Langdon,American Academy of Arts and Sciences,Member,1780
Levi Lincoln,American Academy of Arts and Sciences,Member,1780
Daniel Little,American Academy of Arts and Sciences,Member,1780
Elijah Lothrop,American Academy of Arts and Sciences,Member,1780
John Lowell,American Academy of Arts and Sciences,Member,1780
Samuel Mather,American Academy of Arts and Sciences,Member,1780
Samuel Moody,American Academy of Arts and Sciences,Member,1780
Andrew Oliver,American Academy of Arts and Sciences,Member,1780
Joseph Orne,American Academy of Arts and Sciences,Member,1780
Robert Treat Paine,American Academy of Arts and Sciences,Member,1780
Theodore Parsons,American Academy of Arts and Sciences,Member,1780
George Partridge,American Academy of Arts and Sciences,Member,1780
Phillips Payson,American Academy of Arts and Sciences,Member,1780
Samuel Phillips,American Academy of Arts and Sciences,Member,1780
John Pickering,American Academy of Arts and Sciences,Member,1780
Oliver Prescott,American Academy of Arts and Sciences,Member,1780
Zedekiah Sanger,American Academy of Arts and Sciences,Member,1780
Nathaniel Peaslee Sargeant,American Academy of Arts and Sciences,Member,1780
Micajah Sawyer,American Academy of Arts and Sciences,Member,1780
Theodore Sedgwick,American Academy of Arts and Sciences,Member,1780
William Sever,American Academy of Arts and Sciences,Member,1780
David Sewall,American Academy of Arts and Sciences,Member,1780
Stephen Sewall,American Academy of Arts and Sciences,Member,1780
John Sprague,American Academy of Arts and Sciences,Member,1780
Ebenezer Storer,American Academy of Arts and Sciences,Member,1780
Caleb Strong,American Academy of Arts and Sciences,Member,1780
James Sulliivan,American Academy of Arts and Sciences,Member,1780
John Barnard Swett,American Academy of Arts and Sciences,Member,1780
Nathaniel Tracy,American Academy of Arts and Sciences,Member,1780
Cotton Tufts,American Academy of Arts and Sciences,Member,1780
James Warren,American Academy of Arts and Sciences,Member,1780
Samuel West,American Academy of Arts and Sciences,Member,1780
Edward Wigglesworth,American Academy of Arts and Sciences,Member,1780
Joseph Willard,American Academy of Arts and Sciences,Member,1780
Abraham Williams,American Academy of Arts and Sciences,Member,1780
Nehemiah Williams,American Academy of Arts and Sciences,Member,1780
Samuel Williams,American Academy of Arts and Sciences,Member,1780
James Winthrop,American Academy of Arts and Sciences,Member,1780
Francois Barbe-Marbois,American Academy of Arts and Sciences,Member,1781
Joseph Brown,American Academy of Arts and Sciences,Member,1781
Francois Jean Chastellux,American Academy of Arts and Sciences,Member,1781
Antoine Court de Geblin,American Academy of Arts and Sciences,Member,1781
Richard Cranch,American Academy of Arts and Sciences,Member,1781
Manasseh Cutler,American Academy of Arts and Sciences,Member,1781
Jean le Rond dÍAlembert,American Academy of Arts and Sciences,Member,1781
Timothy Danielson,American Academy of Arts and Sciences,Member,1781
Anne Cesar de la Luzerne,American Academy of Arts and Sciences,Member,1781
Timothy Edwards,American Academy of Arts and Sciences,Member,1781
Benjamin Franklin,American Academy of Arts and Sciences,Member,1781
Benjamin Gale,American Academy of Arts and Sciences,Member,1781
Elbridge Gerry,American Academy of Arts and Sciences,Member,1781
Ebenezer Hazard,American Academy of Arts and Sciences,Member,1781
Simeon Howard,American Academy of Arts and Sciences,Member,1781
Joseph-Jerome le Francais Lalande,American Academy of Arts and Sciences,Member,1781
Benjamin Lincoln,American Academy of Arts and Sciences,Member,1781
Samuel Osgood,American Academy of Arts and Sciences,Member,1781
Theophilus Parson,American Academy of Arts and Sciences,Member,1781
Eliphat Pearson,American Academy of Arts and Sciences,Member,1781
Ezra Stiles,American Academy of Arts and Sciences,Member,1781
Pehr Wilhelm Wargentin,American Academy of Arts and Sciences,Member,1781
John Warren,American Academy of Arts and Sciences,Member,1781
George Washington,American Academy of Arts and Sciences,Member,1781
Benjamin West,American Academy of Arts and Sciences,Member,1781
Loammi Baldwin,American Academy of Arts and Sciences,Member,1782
Owen Biddle,American Academy of Arts and Sciences,Member,1782
Georges Georges Louis Buffon,American Academy of Arts and Sciences,Member,1782
Comte de Leclerc,American Academy of Arts and Sciences,Member,1782
Leonhard Euler,American Academy of Arts and Sciences,Member,1782
Jacques Constant de Guillaume Liberge de Granchain,American Academy of Arts and Sciences,Member,1782
Jacques Constant de Guillaume,American Academy of Arts and Sciences,Member,1782
Comte de Liberge de,American Academy of Arts and Sciences,Member,1782
Thomas Brand Hollis,American Academy of Arts and Sciences,Member,1782
Arthur Lee,American Academy of Arts and Sciences,Member,1782
William Livingston,American Academy of Arts and Sciences,Member,1782
Richard Price,American Academy of Arts and Sciences,Member,1782
Joseph Priestley,American Academy of Arts and Sciences,Member,1782
David Rittenhouse,American Academy of Arts and Sciences,Member,1782
Jonathan Trumbull,American Academy of Arts and Sciences,Member,1782
Meshech Weare,American Academy of Arts and Sciences,Member,1782
Edme Sebastien Jeaurat,American Academy of Arts and Sciences,Member,1783
Thomas Dawes,American Academy of Arts and Sciences,Member,1784
Aaron Dexter,American Academy of Arts and Sciences,Member,1784
William Erving,American Academy of Arts and Sciences,Member,1784
Joshua Fisher,American Academy of Arts and Sciences,Member,1784
Samuel Hale,American Academy of Arts and Sciences,Member,1784
Samuel Gustaf Hermelin,American Academy of Arts and Sciences,Member,1784
John Sparhawk,American Academy of Arts and Sciences,Member,1784
Jeremy Belknap,American Academy of Arts and Sciences,Member,1785
Petter Jonas Bergius,American Academy of Arts and Sciences,Member,1785
"Marie-Joseph Paul Yves Roch Gilbert du Motier de Lafayette, Marquis de Lafayette ",American Academy of Arts and Sciences,Member,1785
Henry Moyes,American Academy of Arts and Sciences,Member,1785
John Prince,American Academy of Arts and Sciences,Member,1785
James Bowdoin,American Academy of Arts and Sciences,Member,1786
Luigi Castiglioni,American Academy of Arts and Sciences,Member,1786
Jean Feron,American Academy of Arts and Sciences,Member,1786
John Jones Spooner,American Academy of Arts and Sciences,Member,1786
Samuel Vaughan Sr.,American Academy of Arts and Sciences,Member,1786
Nathaniel Wells,American Academy of Arts and Sciences,Member,1786
Thomas Jefferson,American Academy of Arts and Sciences,Member,1787
Noah Atwater,American Academy of Arts and Sciences,Member,1788
Joseph Banks,American Academy of Arts and Sciences,Member,1788
George Cabot,American Academy of Arts and Sciences,Member,1788
