Samuel Adams,Massachusetts Society for the Promotion of Agriculture,Member
John Avery Jr.,Massachusetts Society for the Promotion of Agriculture,Member
Joseph Barrell,Massachusetts Society for the Promotion of Agriculture,Member
Martin Brimmer,Massachusetts Society for the Promotion of Agriculture,Member
Charles Bulfinch,Massachusetts Society for the Promotion of Agriculture,Member
John Codman,Massachusetts Society for the Promotion of Agriculture,Member
Edward Cutts,Massachusetts Society for the Promotion of Agriculture,Member
Aaron Dexter,Massachusetts Society for the Promotion of Agriculture,Member
Thomas Durfee,Massachusetts Society for the Promotion of Agriculture,Member
Moses Gill,Massachusetts Society for the Promotion of Agriculture,Member
Christopher Gore,Massachusetts Society for the Promotion of Agriculture,Member
Benjamin Guild,Massachusetts Society for the Promotion of Agriculture,Member
Stephen Higginson,Massachusetts Society for the Promotion of Agriculture,Member
Henry Hill,Massachusetts Society for the Promotion of Agriculture,Member
Samuel Holten,Massachusetts Society for the Promotion of Agriculture,Member
Benjamin Lincoln,Massachusetts Society for the Promotion of Agriculture,Member
John Lowell,Massachusetts Society for the Promotion of Agriculture,Member
Jonathan Mason,Massachusetts Society for the Promotion of Agriculture,Member
Jonathan Mason Jr.,Massachusetts Society for the Promotion of Agriculture,Member
Azor Orne,Massachusetts Society for the Promotion of Agriculture,Member
Samuel Philips,Massachusetts Society for the Promotion of Agriculture,Member
Thomas Russel,Massachusetts Society for the Promotion of Agriculture,Member
Samuel Salisbury,Massachusetts Society for the Promotion of Agriculture,Member
David Sears,Massachusetts Society for the Promotion of Agriculture,Member
James Sullivan,Massachusetts Society for the Promotion of Agriculture,Member
Cotton Tufts,Massachusetts Society for the Promotion of Agriculture,Member
Charles Vaughan,Massachusetts Society for the Promotion of Agriculture,Member
Thomas Winthrop,Massachusetts Society for the Promotion of Agriculture,Member
