Thomas Bacon,APS,1768,Member
Lynford Lardner,APS,1768,Member
Arthur Lee,APS,1768,Member
Francis L. Lee,APS,1768,Member
Samuel Bowen,APS,1769,Member
Richard Brooke,APS,1769,Member
Landon Carter,APS,1769,Member
Daniel Clark,APS,1769,Member
Myles Cooper,APS,1769,Member
John Jones,APS,1769,Member
Carolus Linnaeus,APS,1769,Member
John Lorimer,APS,1769,Member
John M. Otto,APS,1769,Member
Ebenezer Prime,APS,1769,Member
Samuel Shoemaker,APS,1769,Member
Earl William Alexander,APS,1770,Member
Joel Bailey,APS,1770,Member
Joseph Ellicott,APS,1770,Member
James Ferguson,APS,1770,Member
John Fothergill,APS,1770,Member
Joseph Gilpin,APS,1770,Member
George Guald,APS,1770,Member
John David Hahn,APS,1770,Member
John Morell,APS,1770,Member
Edward Nairne,APS,1770,Member
John Baynton,APS,1771,Member
Henry Benbridge,APS,1771,Member
Samuel Filsted,APS,1771,Member
Archibald Gloucester,APS,1771,Member
Henry Hill,APS,1771,Member
James Lloyd,APS,1771,Member
Frederick W. von Marschall,APS,1771,Member
Nevil Maskelyne,APS,1771,Member
Charles A. McCall,APS,1771,Member
Samuel Preston Moore,APS,1771,Member
Charles Morton,APS,1771,Member
Joseph Otolenge,APS,1771,Member
William Parr,APS,1771,Member
Thomas Preston,APS,1771,Member
Samuel Rhoads,APS,1771,Member
Richard Thomas,APS,1771,Member
Stephen Adye,APS,1772,Member
Gerard Bancker,APS,1772,Member
Daniel Coxe,APS,1772,Member
Peter Dolland,APS,1772,Member
Thomas Hutchins,APS,1772,Member
Timothy Lane,APS,1772,Member
Henry Laurens,APS,1772,Member
Jesse Lukens,APS,1772,Member
Arch McClean,APS,1772,Member
George Milligan,APS,1772,Member
John Montresor,APS,1772,Member
Samuel Williams,APS,1772,Member
Tobern Bergmann,APS,1773,Member
Thomas Coombe,APS,1773,Member
Baron von Timotheus M. Klingstadt,APS,1773,Member
William Ludlam,APS,1773,Member
Andrew Oliver,APS,1773,Member
Jean B. Le Roy,APS,1773,Member
Alexander Small,APS,1773,Member
James Tilton,APS,1773,Member
Nicholas Way,APS,1773,Member
James Bringhurst,APS,1774,Member
William Bryant,APS,1774,Member
Sharp Delany,APS,1774,Member
Andrew Duncan,APS,1774,Member
Bryan Edwards,APS,1774,Member
John Ellis,APS,1774,Member
Jonathan Elmer,APS,1774,Member
George Gauld,APS,1774,Member
John Jones,APS,1774,Member
Walter Jones,APS,1774,Member
James McClurg,APS,1774,Member
Samuel More,APS,1774,Member
Benjamin Morgan,APS,1774,Member
Thomas Parke,APS,1774,Member
John Perkins,APS,1774,Member
Bernard Romans,APS,1774,Member
Lord Mahon Charles Stanhope,APS,1774,Member
Lord Mahon Philips Stanhope,APS,1774,Member
William Wright,APS,1774,Member
Charles Adams,APS,1775,Member
Jacques Barbeu-Dubourg,APS,1775,Member
Marquis de M.J.A.N. Caritat Condorcet,APS,1775,Member
Louis J.M. Daubenton,APS,1775,Member
Fortunatus Dwarris,APS,1775,Member
Thomas Gibbons,APS,1775,Member
Samuel Holland,APS,1775,Member
Antoine L. Lavoisier,APS,1775,Member
Pierre J. Macquer,APS,1775,Member
Benjamin Moseley,APS,1775,Member
Guillaume T. F. Raynall,APS,1775,Member
Le Roux,APS,1775,Member
Jean F. Rozier,APS,1775,Member
George Duffield,APS,1779,Member
James Hutchinson,APS,1779,Member
Charles Pettit,APS,1779,Member
Conrad A. Gerard de Rayneval,APS,1779,Member
Jean-Joseph Sue,APS,1779,Member
John Adams,APS,1780,Member
Marquis de Francois Barbe-Marbois,APS,1780,Member
William Brown,APS,1780,Member
William Carmichael,APS,1780,Member
Arthur St. Clair,APS,1780,Member
Robert Erskine,APS,1780,Member
William Grayson,APS,1780,Member
Alexander Hamilton,APS,1780,Member
William C. Houston,APS,1780,Member
John Jay,APS,1780,Member
Thomas Jefferson,APS,1780,Member
J.C. Kunze,APS,1780,Member
John Laurens,APS,1780,Member
Anne C. de la Luaerne,APS,1780,Member
Rev. James Madison,APS,1780,Member
Timothy Matlack,APS,1780,Member
Baron Friedrich W. von Steuben,APS,1780,Member
Jean-Baptiste Ternant,APS,1780,Member
Charles Vallancey,APS,1780,Member
George Washington,APS,1780,Member
Anthony Wayne,APS,1780,Member
Thomas Bee,APS,1781,Member
Marquis de Francois J. Chastellux,APS,1781,Member
Isaac Gray,APS,1781,Member
Ebenezer Hazard,APS,1781,Member
Jared Ingersoll,APS,1781,Member
Marquis de Motier Theodore Lafayette,APS,1781,Member
Hugh Shiell,APS,1781,Member
Chevalier d' Charles F.A. Le Paulmier Annemours,APS,1783,Member
John Beale Bordley,APS,1783,Member
Jean F. Coste,APS,1783,Member
Robert Davidson,APS,1783,Member
Felice Fontana,APS,1783,Member
Antoine Court de Gebilin,APS,1783,Member
Samuel Huntingdon,APS,1783,Member
Robert M. Patterson,APS,1783,Member
Comte Charles C. Labillarderie Angivillier,APS,1784,Member
Jeremy Belknap,APS,1784,Member
Peter J. Van Berckel,APS,1784,Member
Barnabas Binney,APS,1784,Member
Robert Blackwell,APS,1784,Member
Fred F.S. de Brahm,APS,1784,Member
Pedro Rodriguez Campomanes,APS,1784,Member
John Dunlap,APS,1784,Member
John Foulke,APS,1784,Member
George Fox,APS,1784,Member
Arch Gamble,APS,1784,Member
George Gray,APS,1784,Member
J.H.C. Helmuth,APS,1784,Member
Thomas Heyward,APS,1784,Member
Rev. Samuel Magaw,APS,1784,Member
John H. de Magellan,APS,1784,Member
Jonathan D. Sergeant,APS,1784,Member
James Six,APS,1784,Member
John Vaughan,APS,1784,Member
Samuel Vaughan,APS,1784,Member
Comte de Charles G. Vergennes,APS,1784,Member
Frederick E.F. Bertholff,APS,1785,Member
Comte de Luc Urbain du Bouexic,APS,1785,Member
William Bradford,APS,1785,Member
Edward Burd,APS,1785,Member
John Carson,APS,1785,Member
Adair Crawford,APS,1785,Member
Manasseh Cutler,APS,1785,Member
Andrew Ellicott,APS,1785,Member
Samuel Powel Griffiths,APS,1785,Member
Samuel G. Hermelin,APS,1785,Member
Sir William Herschel,APS,1785,Member
Hugh James,APS,1785,Member
Thaddeus Kosciusko,APS,1785,Member
James Madison,APS,1785,Member
Joseph Mandrillion,APS,1785,Member
James McHenry,APS,1785,Member
Christian F. Michailis,APS,1785,Member
Henry E. Muhlenberg,APS,1785,Member
Mann Page,APS,1785,Member
Thomas Paine,APS,1785,Member
William Parker,APS,1785,Member
Robert Perceval,APS,1785,Member
Richard Price,APS,1785,Member
Joseph Priestley,APS,1785,Member
Samuel S. Smith,APS,1785,Member
Jean-Baptiste Sue,APS,1785,Member
