,college,state,period
1,Harvard,MA,Colonial
2,William and Mary,VA,Colonial
3,Yale,CT,Colonial
4,"Pennsylvania, Univ. of",PA,Colonial
5,Princeton,NJ,Colonial
6,Columbia,NY,Colonial
7,Brown,RI,Colonial
8,Rutgers,NJ,Colonial
9,Dartmouth,NH,Colonial
10,"Charleston, Coll. Of",SC,Colonial
11,Hampden-Sydney,VA,Colonial
12,Transylvania,KY,Early National
13,"Georgia, Univ. of",GA,Early National
14,Georgetown,DC,Early National
15,"North Carolina, Univ. of",NC,Early National
16,"Vermont, Univ. of",VT,Early National
17,Williams,MA,Early National
18,"Tennessee, Univ. of",TN,Early National
19,Union College,NY,Early National
20,Marietta,OH,Early National
21,U.S. Military Academy,NY,Early National
22,Ohio Univ.,OH,Early National
23,Miami Univ.,OH,Early National
24,"Maryland, Univ. of",MD,Early National
25,Colby,ME,Early National
26,Allegheny,PA,Early National
27,St. Louis Univ.,MO,Early National
28,"Cincinnati, Univ. of",OH,Early National
29,Colgate,NY,Early National
30,Maryville,TN,Early National
66,"Virginia, University of",VA,Early National
31,Amherst,MA,Early National
32,George Washington,DC,Early National
33,Trinity,CT,Early National
34,Kenyon,OH,Early National
35,Lafayette,PA,Early National
36,Western Reserve Univ.,OH,Early National
37,Illinois College,IL,Antebellum
38,Denison,OH,Antebellum
39,New York Univ.,NY,Antebellum
40,Xavier,OH,Antebellum
41,Gettysburg,PA,Antebellum
42,Oberlin,OH,Antebellum
43,Wake Forest College,NC,Antebellum
44,Wesleyan Univ.,CT,Antebellum
45,Wheaton,MA,Antebellum
46,Emory,GA,Antebellum
47,Mount Holyoke,MA,Antebellum
48,Duke,NC,Antebellum
49,Greensboro,NC,Antebellum
50,"Missouri, Univ. of",MO,Antebellum
51,Fordham,NY,Antebellum
52,Bethel,TN,Antebellum
53,Cumberland,TN,Antebellum
54,Notre Dame,IN,Antebellum
55,Villanova,PA,Antebellum
56,Holy Cross,MA,Antebellum
57,"Mississipps, Univ. of",MI,Antebellum
58,"Louisiana, Univ. of",LA,Antebellum
59,U.S. Naval Academy,MD,Antebellum
60,Beloit,WI,Antebellum
61,Bucknell,PA,Antebellum
62,Grinnell,IA,Antebellum
63,Mount Union,OH,Antebellum
64,Earlham,IN,Antebellum
65,"Wisconsin, Univ. of",WI,Antebellum
