Charles Worthington,Medical Society of the District of Columbia,Member
James H. Blake,Medical Society of the District of Columbia,Member
John T. Shaff,Medical Society of the District of Columbia,Member
Thomas B. Sim,Medical Society of the District of Columbia,Member
Frederick May,Medical Society of the District of Columbia,Member
Joel T. Gustine,Medical Society of the District of Columbia,Member
Elisha Harrison,Medical Society of the District of Columbia,Member
Peregrine Warfield,Medical Society of the District of Columbia,Member
Alexander McWilliams,Medical Society of the District of Columbia,Member
George Clark,Medical Society of the District of Columbia,Member
Henry Huntt,Medical Society of the District of Columbia,Member
Thomas Henderson,Medical Society of the District of Columbia,Member
John Harrison,Medical Society of the District of Columbia,Member
Benjamin S. Bohrer,Medical Society of the District of Columbia,Member
Samuel Horsley,Medical Society of the District of Columbia,Member
Nicholas W. Worthington,Medical Society of the District of Columbia,Member
William Jones,Medical Society of the District of Columbia,Member
James T. Johnson,Medical Society of the District of Columbia,Member
Richard Weightman,Medical Society of the District of Columbia,Member
George W. May,Medical Society of the District of Columbia,Member
Robert French,Medical Society of the District of Columbia,Member
Samuel L. Mitchill,Medical Society of the District of Columbia,Member
John Spence,Medical Society of the District of Columbia,Member
William Beans,Medical Society of the District of Columbia,Member
Joseph Parrish,Medical Society of the District of Columbia,Member
James Mann,Medical Society of the District of Columbia,Member
John H. Chausepie,Medical Society of the District of Columbia,Member
John McClellan,Medical Society of the District of Columbia,Member
Nathaniel Chapman,Medical Society of the District of Columbia,Member
Joshua Fisher,Medical Society of the District of Columbia,Member
William M. Mercer,Medical Society of the District of Columbia,Member
Nathaniel Potter,Medical Society of the District of Columbia,Member
John C. Warren,Medical Society of the District of Columbia,Member
Phillip S. Physick,Medical Society of the District of Columbia,Member
Thomas T. Hewson,Medical Society of the District of Columbia,Member
James Jackson,Medical Society of the District of Columbia,Member
Daniel Coney,Medical Society of the District of Columbia,Member
Benjamin Waterhouse,Medical Society of the District of Columbia,Member
